idTram,infoDisponible,data,tempsActual,tempsPrevist,tempsRecorregutFutur,factorReferenciaActual,tendencia
65,1,20250801013552,134,131,1,1,1
66,1,20250801013552,0,0,-1,-1,-1
67,1,20250801013552,221,227,1,1,1
68,1,20250801013552,120,115,1,1,1
69,1,20250801013552,136,125,1,1,1
70,1,20250801013552,133,161,1,0,0
71,0,20250801013552,100,100,1,1,1
72,0,20250801013552,176,195,1,1,1
73,0,20250801013552,121,119,1,1,1
74,0,20250801013552,91,92,1,1,1
75,0,20250801013552,237,231,1,1,1
76,0,20250801013552,91,87,1,1,1
77,1,20250801013552,430,430,1,1,1
78,1,20250801013552,425,425,1,1,1
1,1,20250801015051,300,300,1,1,1
2,1,20250801015051,0,0,-1,-1,-1
3,1,20250801015051,304,304,1,1,1
4,1,20250801015051,325,325,1,1,1
5,1,20250801015051,174,174,1,1,1
6,1,20250801015051,275,275,1,1,1
7,1,20250801015051,184,185,1,1,1
8,0,20250801015051,0,0,-1,-1,-1
9,0,20250801015051,0,0,-1,-1,-1
10,1,20250801015051,171,171,1,1,1
11,1,20250801015051,0,0,-1,-1,-1
12,1,20250801015051,99,99,1,1,1
13,1,20250801015051,230,231,1,1,1
14,0,20250801015051,0,0,-1,-1,-1
15,1,20250801015051,220,216,2,1,0
16,1,20250801015051,237,237,1,1,1
